run,modello,task,domanda_id,voto
1,llama3.2,HellaSwag,85,1
1,llama3.1,HellaSwag,85,1
1,gemma2:27b,HellaSwag,85,1
1,llama3.2,HumanEval,86,1
1,llama3.1,HumanEval,86,1
1,gemma2:27b,HumanEval,86,1
1,llama3.2,HellaSwag,87,1
1,llama3.1,HellaSwag,87,1
1,gemma2:27b,HellaSwag,87,1
1,llama3.2,MMLU,88,1
1,llama3.1,MMLU,88,1
1,gemma2:27b,MMLU,88,1
1,llama3.2,HumanEval,89,1
1,llama3.1,HumanEval,89,1
1,gemma2:27b,HumanEval,89,1
1,llama3.2,MMLU,90,1
1,llama3.1,MMLU,90,1
1,gemma2:27b,MMLU,90,1
1,llama3.2,MMLU,91,1
1,llama3.1,MMLU,91,1
1,gemma2:27b,MMLU,91,1
1,llama3.2,GSM8K,92,1
1,llama3.1,GSM8K,92,1
1,gemma2:27b,GSM8K,92,1
1,llama3.2,SQuAD,93,1
1,llama3.1,SQuAD,93,1
1,gemma2:27b,SQuAD,93,1
1,llama3.2,SQuAD,94,1
1,llama3.1,SQuAD,94,1
1,gemma2:27b,SQuAD,94,1
1,llama3.2,GSM8K,95,1
1,llama3.1,GSM8K,95,1
1,gemma2:27b,GSM8K,95,1
1,llama3.2,MMLU,96,1
1,llama3.1,MMLU,96,1
1,gemma2:27b,MMLU,96,1
1,llama3.2,GSM8K,97,1
1,llama3.1,GSM8K,97,1
1,gemma2:27b,GSM8K,97,1
1,llama3.2,HumanEval,98,0
1,llama3.1,HumanEval,98,1
1,gemma2:27b,HumanEval,98,1
1,llama3.2,HellaSwag,99,1
1,llama3.1,HellaSwag,99,0
1,gemma2:27b,HellaSwag,99,0
1,llama3.2,GSM8K,100,0
1,llama3.1,GSM8K,100,1
1,gemma2:27b,GSM8K,100,1
1,llama3.2,SQuAD,101,1
1,llama3.1,SQuAD,101,1
1,gemma2:27b,SQuAD,101,1
1,llama3.2,HellaSwag,102,0
1,llama3.1,HellaSwag,102,0
1,gemma2:27b,HellaSwag,102,1
1,llama3.2,SQuAD,103,1
1,llama3.1,SQuAD,103,1
1,gemma2:27b,SQuAD,103,1
1,llama3.2,HellaSwag,104,0
1,llama3.1,HellaSwag,104,1
1,gemma2:27b,HellaSwag,104,0
1,llama3.2,MMLU,105,1
1,llama3.1,MMLU,105,0
1,gemma2:27b,MMLU,105,1
1,llama3.2,HellaSwag,106,0
1,llama3.1,HellaSwag,106,0
1,gemma2:27b,HellaSwag,106,0
1,llama3.2,GSM8K,107,1
1,llama3.1,GSM8K,107,1
1,gemma2:27b,GSM8K,107,1
1,llama3.2,HellaSwag,108,1
1,llama3.1,HellaSwag,108,0
1,gemma2:27b,HellaSwag,108,1
1,llama3.2,GSM8K,109,1
1,llama3.1,GSM8K,109,1
1,gemma2:27b,GSM8K,109,1
1,llama3.2,HellaSwag,110,1
1,llama3.1,HellaSwag,110,0
1,gemma2:27b,HellaSwag,110,1
1,llama3.2,MMLU,111,1
1,llama3.1,MMLU,111,1
1,gemma2:27b,MMLU,111,1
1,llama3.2,HellaSwag,112,0
1,llama3.1,HellaSwag,112,1
1,gemma2:27b,HellaSwag,112,0
1,llama3.2,MMLU,113,0
1,llama3.1,MMLU,113,0
1,gemma2:27b,MMLU,113,1
1,llama3.2,GSM8K,114,1
1,llama3.1,GSM8K,114,1
1,gemma2:27b,GSM8K,114,1
1,llama3.2,HellaSwag,115,0
1,llama3.1,HellaSwag,115,0
1,gemma2:27b,HellaSwag,115,0
1,llama3.2,HumanEval,116,1
1,llama3.1,HumanEval,116,1
1,gemma2:27b,HumanEval,116,1
1,llama3.2,HumanEval,117,1
1,llama3.1,HumanEval,117,1
1,gemma2:27b,HumanEval,117,1
1,llama3.2,GSM8K,118,1
1,llama3.1,GSM8K,118,0
1,gemma2:27b,GSM8K,118,0
1,llama3.2,MMLU,119,1
1,llama3.1,MMLU,119,1
1,gemma2:27b,MMLU,119,1
1,llama3.2,SQuAD,120,0
1,llama3.1,SQuAD,120,1
1,gemma2:27b,SQuAD,120,1
1,llama3.2,MMLU,121,0
1,llama3.1,MMLU,121,0
1,gemma2:27b,MMLU,121,1
1,llama3.2,SQuAD,122,1
1,llama3.1,SQuAD,122,1
1,gemma2:27b,SQuAD,122,1
1,llama3.2,HumanEval,123,1
1,llama3.1,HumanEval,123,1
1,gemma2:27b,HumanEval,123,1
1,llama3.2,SQuAD,124,1
1,llama3.1,SQuAD,124,1
1,gemma2:27b,SQuAD,124,1
1,llama3.2,SQuAD,125,1
1,llama3.1,SQuAD,125,1
1,gemma2:27b,SQuAD,125,1
1,llama3.2,HumanEval,126,1
1,llama3.1,HumanEval,126,1
1,gemma2:27b,HumanEval,126,1
1,llama3.2,SQuAD,127,0
1,llama3.1,SQuAD,127,1
1,gemma2:27b,SQuAD,127,1
1,llama3.2,GSM8K,128,1
1,llama3.1,GSM8K,128,1
1,gemma2:27b,GSM8K,128,1
1,llama3.2,GSM8K,129,1
1,llama3.1,GSM8K,129,1
1,gemma2:27b,GSM8K,129,1
1,llama3.2,HellaSwag,130,1
1,llama3.1,HellaSwag,130,1
1,gemma2:27b,HellaSwag,130,1
1,llama3.2,HellaSwag,131,0
1,llama3.1,HellaSwag,131,1
1,gemma2:27b,HellaSwag,131,1
1,llama3.2,MMLU,132,1
1,llama3.1,MMLU,132,1
1,gemma2:27b,MMLU,132,1
1,llama3.2,MMLU,133,0
1,llama3.1,MMLU,133,1
1,gemma2:27b,MMLU,133,1
1,llama3.2,HumanEval,134,0
1,llama3.1,HumanEval,134,1
1,gemma2:27b,HumanEval,134,1
1,llama3.2,SQuAD,135,1
1,llama3.1,SQuAD,135,1
1,gemma2:27b,SQuAD,135,1
1,llama3.2,MMLU,136,1
1,llama3.1,MMLU,136,1
