run,modello,task,domanda_id,voto
1,qwen2.5:7b,HellaSwag,191,1
1,mistral:latest,HellaSwag,191,1
1,phi3:mini,SQuAD,192,1
1,qwen2.5:7b,SQuAD,192,1
1,mistral:latest,SQuAD,192,1
1,phi3:mini,HellaSwag,193,0
1,qwen2.5:7b,HellaSwag,193,0
1,mistral:latest,HellaSwag,193,0
1,phi3:mini,HumanEval,194,0
1,qwen2.5:7b,HumanEval,194,1
1,mistral:latest,HumanEval,194,1
1,phi3:mini,GSM8K,195,0
1,qwen2.5:7b,GSM8K,195,1
1,mistral:latest,GSM8K,195,0
1,phi3:mini,SQuAD,196,1
1,qwen2.5:7b,SQuAD,196,1
1,mistral:latest,SQuAD,196,1
1,phi3:mini,MMLU,197,0
1,qwen2.5:7b,MMLU,197,0
1,mistral:latest,MMLU,197,0
1,phi3:mini,MMLU,198,1
1,qwen2.5:7b,MMLU,198,1
1,mistral:latest,MMLU,198,1
1,phi3:mini,GSM8K,199,0
1,qwen2.5:7b,GSM8K,199,1
1,mistral:latest,GSM8K,199,0
1,phi3:mini,HumanEval,200,0
1,qwen2.5:7b,HumanEval,200,1
1,mistral:latest,HumanEval,200,1
1,phi3:mini,SQuAD,201,1
1,qwen2.5:7b,SQuAD,201,1
1,mistral:latest,SQuAD,201,1
1,phi3:mini,SQuAD,202,0
1,qwen2.5:7b,SQuAD,202,1
1,mistral:latest,SQuAD,202,1
1,phi3:mini,HellaSwag,203,0
1,qwen2.5:7b,HellaSwag,203,1
1,mistral:latest,HellaSwag,203,1
1,phi3:mini,HumanEval,204,0
1,qwen2.5:7b,HumanEval,204,1
1,mistral:latest,HumanEval,204,1
1,phi3:mini,SQuAD,205,1
1,qwen2.5:7b,SQuAD,205,1
1,mistral:latest,SQuAD,205,1
1,phi3:mini,HumanEval,206,0
1,qwen2.5:7b,HumanEval,206,1
1,mistral:latest,HumanEval,206,1
1,phi3:mini,GSM8K,207,0
1,qwen2.5:7b,GSM8K,207,1
1,mistral:latest,GSM8K,207,0
1,phi3:mini,MMLU,208,0
1,qwen2.5:7b,MMLU,208,1
1,mistral:latest,MMLU,208,1
1,phi3:mini,SQuAD,209,1
1,qwen2.5:7b,SQuAD,209,1
1,mistral:latest,SQuAD,209,1
1,phi3:mini,GSM8K,210,0
1,qwen2.5:7b,GSM8K,210,1
1,mistral:latest,GSM8K,210,1
1,phi3:mini,HellaSwag,211,0
1,qwen2.5:7b,HellaSwag,211,1
1,mistral:latest,HellaSwag,211,1
1,phi3:mini,HellaSwag,212,0
1,qwen2.5:7b,HellaSwag,212,1
1,mistral:latest,HellaSwag,212,1
1,phi3:mini,HumanEval,213,0
1,qwen2.5:7b,HumanEval,213,1
1,mistral:latest,HumanEval,213,1
1,phi3:mini,SQuAD,214,1
1,qwen2.5:7b,SQuAD,214,1
1,mistral:latest,SQuAD,214,1
1,phi3:mini,HumanEval,215,0
1,qwen2.5:7b,HumanEval,215,1
1,mistral:latest,HumanEval,215,0
1,phi3:mini,HellaSwag,216,0
1,qwen2.5:7b,HellaSwag,216,1
1,mistral:latest,HellaSwag,216,1
1,phi3:mini,SQuAD,217,0
1,qwen2.5:7b,SQuAD,217,1
1,mistral:latest,SQuAD,217,1
1,phi3:mini,HumanEval,218,0
1,qwen2.5:7b,HumanEval,218,1
1,mistral:latest,HumanEval,218,1
1,phi3:mini,HumanEval,219,0
1,qwen2.5:7b,HumanEval,219,1
1,mistral:latest,HumanEval,219,1
1,phi3:mini,MMLU,220,1
1,qwen2.5:7b,MMLU,220,1
1,mistral:latest,MMLU,220,1
1,phi3:mini,SQuAD,221,1
1,qwen2.5:7b,SQuAD,221,1
1,mistral:latest,SQuAD,221,1
1,phi3:mini,HumanEval,222,0
1,qwen2.5:7b,HumanEval,222,1
1,mistral:latest,HumanEval,222,0
1,phi3:mini,MMLU,223,1
1,qwen2.5:7b,MMLU,223,1
1,mistral:latest,MMLU,223,1
1,phi3:mini,HellaSwag,224,0
1,qwen2.5:7b,HellaSwag,224,1
1,mistral:latest,HellaSwag,224,1
1,phi3:mini,GSM8K,225,0
1,qwen2.5:7b,GSM8K,225,1
1,mistral:latest,GSM8K,225,1
1,phi3:mini,HumanEval,226,1
1,qwen2.5:7b,HumanEval,226,1
1,mistral:latest,HumanEval,226,0
1,phi3:mini,MMLU,227,1
1,qwen2.5:7b,MMLU,227,1
1,mistral:latest,MMLU,227,1
1,phi3:mini,HellaSwag,228,0
1,qwen2.5:7b,HellaSwag,228,0
1,mistral:latest,HellaSwag,228,0
1,phi3:mini,GSM8K,229,0
1,qwen2.5:7b,GSM8K,229,1
1,mistral:latest,GSM8K,229,0
1,phi3:mini,HumanEval,230,1
1,qwen2.5:7b,HumanEval,230,1
1,mistral:latest,HumanEval,230,1
1,phi3:mini,HumanEval,231,1
1,qwen2.5:7b,HumanEval,231,0
1,mistral:latest,HumanEval,231,0
1,phi3:mini,HumanEval,232,1
1,qwen2.5:7b,HumanEval,232,1
1,mistral:latest,HumanEval,232,1
1,phi3:mini,SQuAD,233,1
